created_at,id_str,retweet_count
"Wed Jan 11 04:41:22 +0000 2023","1613033303376023553",1
"Wed Jan 11 04:41:22 +0000 2023","1613033302805315584",7722
"Wed Jan 11 04:41:21 +0000 2023","1613033298137124865",2318
"Wed Jan 11 04:41:21 +0000 2023","1613033296748838912",0
"Wed Jan 11 04:41:21 +0000 2023","1613033296396533760",0
"Wed Jan 11 04:41:21 +0000 2023","1613033296216080384",0
"Wed Jan 11 04:41:21 +0000 2023","1613033295473688577",39
"Wed Jan 11 04:41:20 +0000 2023","1613033294970474496",5243
"Wed Jan 11 04:41:20 +0000 2023","1613033294630916097",1354
"Wed Jan 11 04:41:20 +0000 2023","1613033293775273987",121
"Wed Jan 11 04:41:20 +0000 2023","1613033293196283906",0
"Wed Jan 11 04:41:20 +0000 2023","1613033291975741441",0
"Wed Jan 11 04:41:20 +0000 2023","1613033291426275328",2309
"Wed Jan 11 04:41:19 +0000 2023","1613033291162046464",20615
"Wed Jan 11 04:41:19 +0000 2023","1613033287244455937",0
"Wed Jan 11 04:41:18 +0000 2023","1613033285999001600",109
"Wed Jan 11 04:41:18 +0000 2023","1613033285831036929",284
"Wed Jan 11 04:41:18 +0000 2023","1613033285340516354",1
"Wed Jan 11 04:41:18 +0000 2023","1613033285013180416",69
"Wed Jan 11 04:41:18 +0000 2023","1613033283557654528",1
"Wed Jan 11 04:41:17 +0000 2023","1613033281158615041",54
"Wed Jan 11 04:41:17 +0000 2023","1613033280768540673",0
"Wed Jan 11 04:41:17 +0000 2023","1613033279950815232",274
"Wed Jan 11 04:41:17 +0000 2023","1613033279707566080",5243
"Wed Jan 11 04:41:17 +0000 2023","1613033278813995008",2427
"Wed Jan 11 04:41:16 +0000 2023","1613033278466064384",2981
"Wed Jan 11 04:41:16 +0000 2023","1613033276851224577",2335
"Wed Jan 11 04:41:16 +0000 2023","1613033274686717952",0
"Wed Jan 11 04:41:16 +0000 2023","1613033274569523202",29
"Wed Jan 11 04:41:15 +0000 2023","1613033274430918656",6399
"Wed Jan 11 04:41:15 +0000 2023","1613033273755664386",793
"Wed Jan 11 04:41:15 +0000 2023","1613033272816308225",0
"Wed Jan 11 04:41:15 +0000 2023","1613033272103124993",4
"Wed Jan 11 04:41:15 +0000 2023","1613033271360905219",1280
"Wed Jan 11 04:41:14 +0000 2023","1613033267980292098",2192
"Wed Jan 11 04:41:14 +0000 2023","1613033267254681600",4426
"Wed Jan 11 04:41:14 +0000 2023","1613033266310942720",428
"Wed Jan 11 04:41:13 +0000 2023","1613033265354637313",115
"Wed Jan 11 04:41:13 +0000 2023","1613033262854868994",8980
"Wed Jan 11 04:41:12 +0000 2023","1613033261839822848",2981
"Wed Jan 11 04:41:12 +0000 2023","1613033261575569408",253
"Wed Jan 11 04:41:12 +0000 2023","1613033260988121088",4217
"Wed Jan 11 04:41:12 +0000 2023","1613033260908675073",1095
"Wed Jan 11 04:41:12 +0000 2023","1613033258639585280",2617
"Wed Jan 11 04:41:12 +0000 2023","1613033258568093697",8
"Wed Jan 11 04:41:12 +0000 2023","1613033258362572809",7616
"Wed Jan 11 04:41:11 +0000 2023","1613033256508588032",4426
"Wed Jan 11 04:41:10 +0000 2023","1613033252146806785",299
"Wed Jan 11 04:41:10 +0000 2023","1613033251391545346",7723
"Wed Jan 11 04:41:10 +0000 2023","1613033250154479618",8980
"Wed Jan 11 04:41:10 +0000 2023","1613033250154323968",0
"Wed Jan 11 04:41:10 +0000 2023","1613033250116751362",8980
"Wed Jan 11 04:41:09 +0000 2023","1613033248409686016",7616
"Wed Jan 11 04:41:09 +0000 2023","1613033245612081155",5534
"Wed Jan 11 04:41:09 +0000 2023","1613033245179842560",12
"Wed Jan 11 04:41:08 +0000 2023","1613033244882264064",395
"Wed Jan 11 04:41:08 +0000 2023","1613033243661729793",243
"Wed Jan 11 04:41:08 +0000 2023","1613033241216270337",2617
"Wed Jan 11 04:41:08 +0000 2023","1613033241103196160",540
"Wed Jan 11 04:41:07 +0000 2023","1613033240683585537",0
"Wed Jan 11 04:41:07 +0000 2023","1613033240146903041",60
"Wed Jan 11 04:41:07 +0000 2023","1613033240104767489",188
"Wed Jan 11 04:41:07 +0000 2023","1613033239899168768",372
"Wed Jan 11 04:41:07 +0000 2023","1613033238817128448",1
"Wed Jan 11 04:41:06 +0000 2023","1613033235470221315",6399
"Wed Jan 11 04:41:06 +0000 2023","1613033235386355714",8980
"Wed Jan 11 04:41:06 +0000 2023","1613033234732036099",1
"Wed Jan 11 04:41:06 +0000 2023","1613033234367148033",28920
"Wed Jan 11 04:41:06 +0000 2023","1613033233855176704",2
"Wed Jan 11 04:41:06 +0000 2023","1613033233825890304",0
"Wed Jan 11 04:41:06 +0000 2023","1613033232630689793",2260
"Wed Jan 11 04:41:05 +0000 2023","1613033232026533888",1948
"Wed Jan 11 04:41:05 +0000 2023","1613033231976173569",24
"Wed Jan 11 04:41:05 +0000 2023","1613033231846187008",1141
"Wed Jan 11 04:41:05 +0000 2023","1613033231800225794",32
"Wed Jan 11 04:41:05 +0000 2023","1613033231674183681",184
"Wed Jan 11 04:41:05 +0000 2023","1613033231368204288",7616
"Wed Jan 11 04:41:05 +0000 2023","1613033231116533761",10
"Wed Jan 11 04:41:05 +0000 2023","1613033231065948160",57
"Wed Jan 11 04:41:05 +0000 2023","1613033230856499200",0
"Wed Jan 11 04:41:05 +0000 2023","1613033230755676161",1
"Wed Jan 11 04:41:05 +0000 2023","1613033230273507329",15
"Wed Jan 11 04:41:05 +0000 2023","1613033229375926274",0
"Wed Jan 11 04:41:05 +0000 2023","1613033229174325248",884
"Wed Jan 11 04:41:05 +0000 2023","1613033229157646336",0
"Wed Jan 11 04:41:04 +0000 2023","1613033228146978820",1
"Wed Jan 11 04:41:04 +0000 2023","1613033226939031552",51
"Wed Jan 11 04:41:04 +0000 2023","1613033226032889856",25
"Wed Jan 11 04:41:04 +0000 2023","1613033225483587584",927
"Wed Jan 11 04:41:04 +0000 2023","1613033225164562432",1
"Wed Jan 11 04:41:03 +0000 2023","1613033221842735105",767
"Wed Jan 11 04:41:03 +0000 2023","1613033220773408770",0
"Wed Jan 11 04:41:02 +0000 2023","1613033219888406529",8980
"Wed Jan 11 04:41:02 +0000 2023","1613033217501859841",7616
"Wed Jan 11 04:41:02 +0000 2023","1613033217371803649",20615
"Wed Jan 11 04:41:02 +0000 2023","1613033216818003969",323
"Wed Jan 11 04:41:02 +0000 2023","1613033216184832001",278
"Wed Jan 11 04:41:01 +0000 2023","1613033214863609856",8
"Wed Jan 11 04:41:01 +0000 2023","1613033214452371463",927
"Wed Jan 11 04:41:01 +0000 2023","1613033212229615617",2
"Wed Jan 11 04:41:01 +0000 2023","1613033211575271424",0
"Wed Jan 11 04:41:00 +0000 2023","1613033211545747457",390
"Wed Jan 11 04:41:00 +0000 2023","1613033210081955842",248
"Wed Jan 11 04:41:00 +0000 2023","1613033208882274305",3843
"Wed Jan 11 04:41:00 +0000 2023","1613033208156749824",1
"Wed Jan 11 04:41:00 +0000 2023","1613033208026746880",2
"Wed Jan 11 04:40:59 +0000 2023","1613033205757526021",3309
"Wed Jan 11 04:40:59 +0000 2023","1613033205266882562",198
"Wed Jan 11 04:40:59 +0000 2023","1613033204960694274",2617
"Wed Jan 11 04:40:59 +0000 2023","1613033204755357696",2260
"Wed Jan 11 04:40:58 +0000 2023","1613033202179866629",64
"Wed Jan 11 04:40:58 +0000 2023","1613033201886453760",0
"Wed Jan 11 04:40:58 +0000 2023","1613033201731092482",19841
"Wed Jan 11 04:40:58 +0000 2023","1613033200263245826",28920
"Wed Jan 11 04:40:58 +0000 2023","1613033199273402371",15
"Wed Jan 11 04:40:58 +0000 2023","1613033199029846016",372
"Wed Jan 11 04:40:57 +0000 2023","1613033197490810881",2
"Wed Jan 11 04:40:57 +0000 2023","1613033196987219968",750
"Wed Jan 11 04:40:57 +0000 2023","1613033196161228800",5243
"Wed Jan 11 04:40:57 +0000 2023","1613033195183964163",581
"Wed Jan 11 04:40:56 +0000 2023","1613033193871118344",2617
"Wed Jan 11 04:40:56 +0000 2023","1613033193606717441",92
"Wed Jan 11 04:40:56 +0000 2023","1613033192189005825",1261
"Wed Jan 11 04:40:56 +0000 2023","1613033191656284160",7
"Wed Jan 11 04:40:55 +0000 2023","1613033190402437121",0
"Wed Jan 11 04:40:55 +0000 2023","1613033187470352386",7617
"Wed Jan 11 04:40:55 +0000 2023","1613033187013455874",2318
"Wed Jan 11 04:40:55 +0000 2023","1613033186988265472",561
"Wed Jan 11 04:40:54 +0000 2023","1613033186216542210",294
"Wed Jan 11 04:40:54 +0000 2023","1613033186111406083",4426
"Wed Jan 11 04:40:54 +0000 2023","1613033185452900352",767
"Wed Jan 11 04:40:54 +0000 2023","1613033185247625218",40
"Wed Jan 11 04:40:54 +0000 2023","1613033184295264257",1329
"Wed Jan 11 04:40:54 +0000 2023","1613033184253612033",13
"Wed Jan 11 04:40:54 +0000 2023","1613033182844133379",671
"Wed Jan 11 04:40:54 +0000 2023","1613033182592475137",2806
"Wed Jan 11 04:40:53 +0000 2023","1613033181879443456",0
