created_at,id_str,retweet_count
"Wed Jan 11 04:37:35 +0000 2023","1613032350669066240",7624
"Wed Jan 11 04:37:35 +0000 2023","1613032349838774274",141
"Wed Jan 11 04:37:35 +0000 2023","1613032349679382535",2
"Wed Jan 11 04:37:35 +0000 2023","1613032349180231681",1354
"Wed Jan 11 04:37:34 +0000 2023","1613032347074695168",0
"Wed Jan 11 04:37:34 +0000 2023","1613032343622811648",0
"Wed Jan 11 04:37:33 +0000 2023","1613032342242705409",0
"Wed Jan 11 04:37:33 +0000 2023","1613032342125412353",17323
"Wed Jan 11 04:37:33 +0000 2023","1613032341475307520",133
"Wed Jan 11 04:37:32 +0000 2023","1613032337712750592",2488
"Wed Jan 11 04:37:32 +0000 2023","1613032337490558976",460
"Wed Jan 11 04:37:32 +0000 2023","1613032336853196801",0
"Wed Jan 11 04:37:32 +0000 2023","1613032336626417664",51
"Wed Jan 11 04:37:31 +0000 2023","1613032334718115842",2981
"Wed Jan 11 04:37:31 +0000 2023","1613032333208068097",54
"Wed Jan 11 04:37:31 +0000 2023","1613032332918751233",5244
"Wed Jan 11 04:37:31 +0000 2023","1613032332759388160",2618
"Wed Jan 11 04:37:31 +0000 2023","1613032332516024320",2336
"Wed Jan 11 04:37:31 +0000 2023","1613032332512079872",885
"Wed Jan 11 04:37:31 +0000 2023","1613032332277186560",2618
"Wed Jan 11 04:37:31 +0000 2023","1613032331807436807",36
"Wed Jan 11 04:37:31 +0000 2023","1613032330784043008",391
"Wed Jan 11 04:37:30 +0000 2023","1613032330565672961",3844
"Wed Jan 11 04:37:30 +0000 2023","1613032329668182016",0
"Wed Jan 11 04:37:30 +0000 2023","1613032328250490880",90
"Wed Jan 11 04:37:30 +0000 2023","1613032327113842688",0
"Wed Jan 11 04:37:29 +0000 2023","1613032326497435648",0
"Wed Jan 11 04:37:29 +0000 2023","1613032325570330626",15
"Wed Jan 11 04:37:29 +0000 2023","1613032324958126082",793
"Wed Jan 11 04:37:29 +0000 2023","1613032324937007104",5244
"Wed Jan 11 04:37:29 +0000 2023","1613032324702113792",103
"Wed Jan 11 04:37:29 +0000 2023","1613032323523526662",7624
"Wed Jan 11 04:37:29 +0000 2023","1613032323104006145",0
"Wed Jan 11 04:37:29 +0000 2023","1613032322902929408",4
"Wed Jan 11 04:37:29 +0000 2023","1613032322701611009",0
"Wed Jan 11 04:37:28 +0000 2023","1613032321476710400",1
"Wed Jan 11 04:37:28 +0000 2023","1613032321082327040",42
"Wed Jan 11 04:37:28 +0000 2023","1613032320629440517",5244
"Wed Jan 11 04:37:28 +0000 2023","1613032320331812864",1262
"Wed Jan 11 04:37:28 +0000 2023","1613032319702667264",2524
"Wed Jan 11 04:37:28 +0000 2023","1613032318830268416",1056
"Wed Jan 11 04:37:27 +0000 2023","1613032318163116032",55
"Wed Jan 11 04:37:26 +0000 2023","1613032313478160384",1568
"Wed Jan 11 04:37:26 +0000 2023","1613032311771041794",8668
"Wed Jan 11 04:37:26 +0000 2023","1613032310722691072",1097
"Wed Jan 11 04:37:26 +0000 2023","1613032310453968896",20615
"Wed Jan 11 04:37:26 +0000 2023","1613032310391054337",17
"Wed Jan 11 04:37:26 +0000 2023","1613032310349377537",1512
"Wed Jan 11 04:37:26 +0000 2023","1613032310303064066",42
"Wed Jan 11 04:37:25 +0000 2023","1613032309141245955",0
"Wed Jan 11 04:37:25 +0000 2023","1613032308965281793",0
"Wed Jan 11 04:37:25 +0000 2023","1613032308793016323",3
"Wed Jan 11 04:37:25 +0000 2023","1613032306415140864",0
"Wed Jan 11 04:37:25 +0000 2023","1613032305844445185",0
"Wed Jan 11 04:37:24 +0000 2023","1613032305353756673",88
"Wed Jan 11 04:37:24 +0000 2023","1613032303344685056",80
"Wed Jan 11 04:37:24 +0000 2023","1613032303315263490",1355
"Wed Jan 11 04:37:24 +0000 2023","1613032302023671809",12
"Wed Jan 11 04:37:23 +0000 2023","1613032300777992193",4233
"Wed Jan 11 04:37:23 +0000 2023","1613032300748615680",1
"Wed Jan 11 04:37:23 +0000 2023","1613032300408705025",8982
"Wed Jan 11 04:37:23 +0000 2023","1613032300001857537",1355
"Wed Jan 11 04:37:23 +0000 2023","1613032297921667074",17323
"Wed Jan 11 04:37:22 +0000 2023","1613032297074425856",750
"Wed Jan 11 04:37:22 +0000 2023","1613032295690027011",7624
"Wed Jan 11 04:37:22 +0000 2023","1613032294029168640",0
"Wed Jan 11 04:37:22 +0000 2023","1613032293026697221",8276
"Wed Jan 11 04:37:21 +0000 2023","1613032289943838720",347
"Wed Jan 11 04:37:20 +0000 2023","1613032288123600897",0
"Wed Jan 11 04:37:20 +0000 2023","1613032287255334912",2509
"Wed Jan 11 04:37:20 +0000 2023","1613032286999711746",1948
"Wed Jan 11 04:37:20 +0000 2023","1613032286932410369",36
"Wed Jan 11 04:37:20 +0000 2023","1613032285539893250",2618
"Wed Jan 11 04:37:19 +0000 2023","1613032284399050753",210
"Wed Jan 11 04:37:19 +0000 2023","1613032283463716864",99
"Wed Jan 11 04:37:19 +0000 2023","1613032283199488002",7624
"Wed Jan 11 04:37:19 +0000 2023","1613032281874259968",172
"Wed Jan 11 04:37:18 +0000 2023","1613032279542059008",2261
"Wed Jan 11 04:37:18 +0000 2023","1613032279374458880",1
"Wed Jan 11 04:37:18 +0000 2023","1613032277990166528",0
"Wed Jan 11 04:37:18 +0000 2023","1613032276950151168",4217
"Wed Jan 11 04:37:17 +0000 2023","1613032275545030657",0
"Wed Jan 11 04:37:17 +0000 2023","1613032274773016576",2618
"Wed Jan 11 04:37:17 +0000 2023","1613032272239673345",892
"Wed Jan 11 04:37:16 +0000 2023","1613032271908569098",2336
"Wed Jan 11 04:37:16 +0000 2023","1613032271346544643",2618
"Wed Jan 11 04:37:16 +0000 2023","1613032269488291843",1097
"Wed Jan 11 04:37:16 +0000 2023","1613032268850958336",17323
"Wed Jan 11 04:37:16 +0000 2023","1613032268771233792",123
"Wed Jan 11 04:37:16 +0000 2023","1613032268632555521",383
"Wed Jan 11 04:37:16 +0000 2023","1613032268313886721",8982
"Wed Jan 11 04:37:15 +0000 2023","1613032267231952897",1948
"Wed Jan 11 04:37:15 +0000 2023","1613032266082521089",0
"Wed Jan 11 04:37:15 +0000 2023","1613032265524645888",3
"Wed Jan 11 04:37:15 +0000 2023","1613032264694202368",923
"Wed Jan 11 04:37:15 +0000 2023","1613032263804936193",4779
"Wed Jan 11 04:37:14 +0000 2023","1613032262395723776",0
"Wed Jan 11 04:37:14 +0000 2023","1613032261972291586",347
"Wed Jan 11 04:37:14 +0000 2023","1613032260009136130",8982
"Wed Jan 11 04:37:13 +0000 2023","1613032258776055809",3844
"Wed Jan 11 04:37:13 +0000 2023","1613032257651982338",0
"Wed Jan 11 04:37:13 +0000 2023","1613032256590815234",20615
"Wed Jan 11 04:37:12 +0000 2023","1613032254351249408",1948
"Wed Jan 11 04:37:12 +0000 2023","1613032253562716162",1968
"Wed Jan 11 04:37:12 +0000 2023","1613032253495336963",4779
"Wed Jan 11 04:37:11 +0000 2023","1613032249623977984",0
"Wed Jan 11 04:37:11 +0000 2023","1613032249620070400",35
"Wed Jan 11 04:37:11 +0000 2023","1613032248881876992",263
"Wed Jan 11 04:37:11 +0000 2023","1613032248382738432",3309
"Wed Jan 11 04:37:11 +0000 2023","1613032247023570944",0
"Wed Jan 11 04:37:10 +0000 2023","1613032245429927936",5244
"Wed Jan 11 04:37:10 +0000 2023","1613032244783849473",287
"Wed Jan 11 04:37:10 +0000 2023","1613032244377169921",581
"Wed Jan 11 04:37:10 +0000 2023","1613032243798183938",4429
"Wed Jan 11 04:37:10 +0000 2023","1613032243299258369",260
"Wed Jan 11 04:37:10 +0000 2023","1613032243047309322",1
"Wed Jan 11 04:37:09 +0000 2023","1613032241059491841",1512
"Wed Jan 11 04:37:09 +0000 2023","1613032240602136576",5
"Wed Jan 11 04:37:09 +0000 2023","1613032239272726530",263
"Wed Jan 11 04:37:09 +0000 2023","1613032238513274881",750
"Wed Jan 11 04:37:08 +0000 2023","1613032238245113856",0
"Wed Jan 11 04:37:08 +0000 2023","1613032238018605056",323
"Wed Jan 11 04:37:08 +0000 2023","1613032237003333633",159
"Wed Jan 11 04:37:08 +0000 2023","1613032235556573187",0
"Wed Jan 11 04:37:08 +0000 2023","1613032234948116480",892
"Wed Jan 11 04:37:08 +0000 2023","1613032234595897347",271
"Wed Jan 11 04:37:07 +0000 2023","1613032234004406272",8982
"Wed Jan 11 04:37:07 +0000 2023","1613032232717012992",15
"Wed Jan 11 04:37:07 +0000 2023","1613032232675049472",17
"Wed Jan 11 04:37:07 +0000 2023","1613032232570204160",41
"Wed Jan 11 04:37:07 +0000 2023","1613032232092045312",0
"Wed Jan 11 04:37:07 +0000 2023","1613032230296735746",767
"Wed Jan 11 04:37:07 +0000 2023","1613032230225612800",0
"Wed Jan 11 04:37:06 +0000 2023","1613032229227368448",2
"Wed Jan 11 04:37:06 +0000 2023","1613032228325568513",0
"Wed Jan 11 04:37:05 +0000 2023","1613032225242771456",2516
"Wed Jan 11 04:37:05 +0000 2023","1613032222419714049",4
"Wed Jan 11 04:37:04 +0000 2023","1613032219580194818",51
"Wed Jan 11 04:37:03 +0000 2023","1613032216841314305",0
"Wed Jan 11 04:37:03 +0000 2023","1613032216468004865",0
"Wed Jan 11 04:37:03 +0000 2023","1613032213846671360",0
"Wed Jan 11 04:37:03 +0000 2023","1613032213721022465",0
"Wed Jan 11 04:37:02 +0000 2023","1613032212919717894",191
"Wed Jan 11 04:37:02 +0000 2023","1613032210390568961",1286
"Wed Jan 11 04:37:00 +0000 2023","1613032204006727682",10
"Wed Jan 11 04:37:00 +0000 2023","1613032203486916609",0
"Wed Jan 11 04:37:00 +0000 2023","1613032201230209024",0
"Wed Jan 11 04:37:00 +0000 2023","1613032200932319234",156
"Wed Jan 11 04:36:59 +0000 2023","1613032199913377792",3
"Wed Jan 11 04:36:59 +0000 2023","1613032199816892418",2320
"Wed Jan 11 04:36:59 +0000 2023","1613032199573635072",5244
"Wed Jan 11 04:36:59 +0000 2023","1613032199502139392",1439
"Wed Jan 11 04:36:59 +0000 2023","1613032197308424192",1948
"Wed Jan 11 04:36:59 +0000 2023","1613032197136740352",0
"Wed Jan 11 04:36:58 +0000 2023","1613032195538518016",146
"Wed Jan 11 04:36:58 +0000 2023","1613032194166906886",9
"Wed Jan 11 04:36:58 +0000 2023","1613032193579687936",1
"Wed Jan 11 04:36:58 +0000 2023","1613032193315725314",77
"Wed Jan 11 04:36:57 +0000 2023","1613032189725233154",0
"Wed Jan 11 04:36:57 +0000 2023","1613032189658107905",261
"Wed Jan 11 04:36:57 +0000 2023","1613032189251182592",9
"Wed Jan 11 04:36:57 +0000 2023","1613032188529999872",1
"Wed Jan 11 04:36:56 +0000 2023","1613032187724705793",1948
"Wed Jan 11 04:36:56 +0000 2023","1613032186885865472",0
"Wed Jan 11 04:36:56 +0000 2023","1613032185833082880",0
"Wed Jan 11 04:36:56 +0000 2023","1613032185354915840",184
"Wed Jan 11 04:36:55 +0000 2023","1613032181584265216",28920
"Wed Jan 11 04:36:55 +0000 2023","1613032181198102533",671
"Wed Jan 11 04:36:55 +0000 2023","1613032180787154944",0
"Wed Jan 11 04:36:55 +0000 2023","1613032180762177536",767
"Wed Jan 11 04:36:55 +0000 2023","1613032180070125570",3
"Wed Jan 11 04:36:54 +0000 2023","1613032179075784704",8982
"Wed Jan 11 04:36:54 +0000 2023","1613032178769879042",581
"Wed Jan 11 04:36:54 +0000 2023","1613032177511600133",4157
"Wed Jan 11 04:36:54 +0000 2023","1613032177377189888",6
"Wed Jan 11 04:36:54 +0000 2023","1613032177058611201",52
"Wed Jan 11 04:36:53 +0000 2023","1613032175259066368",5244
"Wed Jan 11 04:36:53 +0000 2023","1613032175158411267",2427
"Wed Jan 11 04:36:53 +0000 2023","1613032174005129216",0
"Wed Jan 11 04:36:53 +0000 2023","1613032171744399360",391
"Wed Jan 11 04:36:52 +0000 2023","1613032170368425984",1355
"Wed Jan 11 04:36:52 +0000 2023","1613032169068433410",84
"Wed Jan 11 04:36:52 +0000 2023","1613032168489467905",4429
"Wed Jan 11 04:36:51 +0000 2023","1613032166233108480",1355
"Wed Jan 11 04:36:51 +0000 2023","1613032166195363840",57
"Wed Jan 11 04:36:51 +0000 2023","1613032165716987904",2336
"Wed Jan 11 04:36:51 +0000 2023","1613032164412592128",0
"Wed Jan 11 04:36:50 +0000 2023","1613032161442922498",0
"Wed Jan 11 04:36:50 +0000 2023","1613032161032167424",2
"Wed Jan 11 04:36:49 +0000 2023","1613032158503006213",0
"Wed Jan 11 04:36:48 +0000 2023","1613032154241601536",0
"Wed Jan 11 04:36:48 +0000 2023","1613032154119737344",0
"Wed Jan 11 04:36:48 +0000 2023","1613032153570480128",1
"Wed Jan 11 04:36:48 +0000 2023","1613032152614174720",2320
"Wed Jan 11 04:36:48 +0000 2023","1613032152505143300",7
"Wed Jan 11 04:36:48 +0000 2023","1613032151443701761",1
"Wed Jan 11 04:36:48 +0000 2023","1613032150990733320",131
"Wed Jan 11 04:36:47 +0000 2023","1613032148885442560",2618
"Wed Jan 11 04:36:47 +0000 2023","1613032147912212480",0
"Wed Jan 11 04:36:47 +0000 2023","1613032147593330689",4779
"Wed Jan 11 04:36:46 +0000 2023","1613032144254779392",129
"Wed Jan 11 04:36:46 +0000 2023","1613032143348977665",0
"Wed Jan 11 04:36:46 +0000 2023","1613032142547845122",1355
"Wed Jan 11 04:36:45 +0000 2023","1613032140886663168",2352
"Wed Jan 11 04:36:45 +0000 2023","1613032140668821504",12
"Wed Jan 11 04:36:45 +0000 2023","1613032139934539790",4
"Wed Jan 11 04:36:45 +0000 2023","1613032137870950410",4920
"Wed Jan 11 04:36:44 +0000 2023","1613032137737015303",89
"Wed Jan 11 04:36:44 +0000 2023","1613032137648926721",4217
"Wed Jan 11 04:36:44 +0000 2023","1613032136923308033",140
"Wed Jan 11 04:36:44 +0000 2023","1613032135626989569",1
"Wed Jan 11 04:36:43 +0000 2023","1613032133379121158",294
"Wed Jan 11 04:36:43 +0000 2023","1613032133123051520",0
"Wed Jan 11 04:36:43 +0000 2023","1613032132397367297",1
"Wed Jan 11 04:36:43 +0000 2023","1613032132179365888",5244
"Wed Jan 11 04:36:43 +0000 2023","1613032131382628352",490
"Wed Jan 11 04:36:43 +0000 2023","1613032131344596992",51
"Wed Jan 11 04:36:43 +0000 2023","1613032129960767490",0
"Wed Jan 11 04:36:42 +0000 2023","1613032129268703237",2320
"Wed Jan 11 04:36:42 +0000 2023","1613032128232697857",0
"Wed Jan 11 04:36:42 +0000 2023","1613032127981051904",32
"Wed Jan 11 04:36:42 +0000 2023","1613032127167176708",26
"Wed Jan 11 04:36:42 +0000 2023","1613032126521262081",0
"Wed Jan 11 04:36:40 +0000 2023","1613032120137707522",291
"Wed Jan 11 04:36:40 +0000 2023","1613032118669524994",7723
"Wed Jan 11 04:36:40 +0000 2023","1613032118485127173",11023
"Wed Jan 11 04:36:40 +0000 2023","1613032118350942208",4253
"Wed Jan 11 04:36:39 +0000 2023","1613032115699941376",2320
"Wed Jan 11 04:36:39 +0000 2023","1613032115477544961",181
"Wed Jan 11 04:36:39 +0000 2023","1613032114584260610",290
"Wed Jan 11 04:36:39 +0000 2023","1613032114164846592",671
"Wed Jan 11 04:36:39 +0000 2023","1613032113841790976",0
"Wed Jan 11 04:36:38 +0000 2023","1613032111988166658",1576
"Wed Jan 11 04:36:38 +0000 2023","1613032111719473152",0
"Wed Jan 11 04:36:38 +0000 2023","1613032111019282433",2806
"Wed Jan 11 04:36:38 +0000 2023","1613032110180155394",0
"Wed Jan 11 04:36:38 +0000 2023","1613032109836320768",0
"Wed Jan 11 04:36:37 +0000 2023","1613032106321481728",0
"Wed Jan 11 04:36:37 +0000 2023","1613032105109344258",1948
"Wed Jan 11 04:36:36 +0000 2023","1613032103813283840",97
"Wed Jan 11 04:36:36 +0000 2023","1613032102693568512",8
"Wed Jan 11 04:36:36 +0000 2023","1613032102622289923",2320
"Wed Jan 11 04:36:36 +0000 2023","1613032101649207296",12968
"Wed Jan 11 04:36:36 +0000 2023","1613032101573451778",2
